"Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
"42163","1.02937351381093","-0.612388470040124","-0.126440377816081","-1.38265957338525","-0.821914569945728","-1.38565911229579","0.227607796737332","-0.249126086802119","0.838048259042455","-0.903623489256993","1.79922974281567","1.24983110549786","-0.35126841406536","0.732071133404219","0.953246882209941","-0.433615898555475","-0.252220819109996","0.14976735246385","0.986800608454526","0.168650822893289","0.0133454432392251","-0.207555987854304","-0.121501786356321","0.56849923821608","0.424878441532891","-0.153217537910782","-0.0417316236760781","0.0248089246673581","136","0"
"42164","-3.86882300694505","-2.18837147398672","1.0249664818534","-2.28420694195113","-1.25746045583471","0.575719057309632","0.41059618076735","-0.145038470045065","-1.02831325874189","2.71441106094781","1.71979333193102","-0.743210328607136","0.0119051731093361","-1.1002471476382","0.537192761778993","-0.267163308933582","0.170065317665098","-0.129741477484472","-1.33430188425087","-0.818750166684187","-0.659804452225941","0.611921619978678","0.192589605818626","-0.251260700062958","0.610665328871539","-0.144281916865904","0.300787829978156","0.092853483544373","282","0"
"42164","1.15448311887541","0.152866090613588","0.352696715294994","0.589844777146802","-0.358214866136433","-0.429469280692486","-0.189913622440745","0.152993532227646","-0.0205661085936524","-0.114814035614649","1.78268171235","0.28803338735618","-1.39526274922001","0.244411048555765","0.793118841833685","0.392823393034394","0.180764043841159","-0.137177430753639","-0.333802102476943","-0.202512595028114","-0.211850769186786","-0.687097993822695","0.189120405713876","0.143441660072323","0.0358887143301396","0.0990100081845715","-0.0198613421527605","0.0161442884805754","1.98","0"
"42164","-0.792633355095158","1.49308842167002","1.55026669565258","2.60297649770272","-0.576571782114843","0.711052921174865","0.217023959653504","0.378714146495608","-1.18649668979573","1.23937863431445","0.693048420076956","-0.0768032419727985","-0.15556037150554","0.340815237702657","0.822014892783984","0.539185871497947","-0.463148106255819","1.08740060288081","0.957739039473675","0.151199220044795","0.221237118517566","0.752788325687188","-0.108405807394233","-0.00170400499604896","-0.527434524900797","0.202333339052319","-0.0873824010298539","-0.0946883717988578","72.35","0"
"42165","1.33609999300802","0.622510027136643","-0.921615774467682","0.678279773074702","0.505081874548199","-0.982464107586096","0.381826877276009","-0.255259763768168","-0.085117044977703","-0.70663192518181","-0.583684409680591","-0.505919442693475","-0.103772555898815","-1.31514224129604","1.04729522553573","0.802881622075942","0.741279039640718","0.559402539623273","-0.0490646355431043","-0.0534789555985936","-0.210929440341611","-0.553516627565517","-0.185102397514717","-0.571391794998383","0.677179551959592","0.421462513038853","-0.0328437897088172","0.0340221214236689","0.76","0"
"42165","-1.90108196158609","1.46582993163256","1.27341303878562","-0.0599396454386334","-0.671247025193857","-1.04602136529551","0.342912037259436","0.0476929664082083","0.454386970080082","0.74907094951152","-0.257527089650163","-0.220445957987608","-0.538851716791735","-0.00529246972202486","1.04059248932161","0.175976509022954","-0.287870581848295","-0.183375559359746","-0.231192665439755","0.0648976661938627","-0.0926525909970094","-0.0557293533721809","0.096863542115716","0.696196338075354","-0.295887175013348","0.104170569440534","-0.244930738343438","0.0488746965550431","15.59","0"
"42166","-0.260637233854535","1.35361927539968","2.06533869195481","2.73540737651926","0.088450941263062","-0.163485660557307","0.706636615436729","-0.134544353053781","-1.14699722942889","1.0899774003949","-0.562234176403136","-1.06290701144205","-0.905253881656372","0.258765076432516","1.42409207292066","-0.0163377342507872","-0.0680933579999152","-0.0067436955834426","0.863793684197596","0.274076656692103","-0.259149536839324","-0.53557064274658","-0.029240051024894","0.308721056995463","-0.473331009867802","-0.064800062421322","0.210709533305224","-0.0225911236780402","2.68","0"
"42167","-0.130222692248993","-0.452229700462152","-1.1923017380094","-1.24219076614046","3.37898463652493","2.46280945401774","-0.450575987912473","0.864950314396229","0.00732329052165015","-0.163222532068612","-0.476678067305939","0.0218742118716439","-0.0334266690669232","0.381444463857478","0.245898998148088","0.787208594695465","-1.32395009981261","0.0716026201602026","-0.513154225610641","0.0482078334611535","0.0503884744996677","-0.222458080547482","0.674706252296838","0.971286278149079","-2.29528110992378","-0.457743497932908","0.318241057390069","0.381416592478196","1.98","0"
"42168","-6.58435427897461","4.28584312804292","-7.59825394184973","1.8397240972491","-2.471597570168","-0.617906314450042","-3.12760232751096","5.04764662848312","-0.13926135120638","-0.827076267193955","0.198331326981203","1.25902157633857","-0.180666113925642","-0.425605153756509","2.12336943266067","0.916347460514965","5.82108209985258","-0.099378331709643","-2.36298071205394","0.000441628746844152","0.0879716196520515","-0.294840098512378","0.0225040555414397","-1.30360236311686","-0.217155428082177","-0.250195155834267","0.0200417092294991","-0.238517958113766","1","0"
"42168","1.31141081169364","0.00179935307650222","0.155471838347278","-0.226688833777287","-0.578173506591625","-1.30463273441761","0.0786877867212444","-0.264433875209586","0.19341830751374","-0.15580364073355","-0.265307477894108","-0.0950915109528362","-0.458178222589013","0.411769319459312","1.08109162330777","0.236485952230571","-0.192252462485097","-0.668592909419962","0.206134999292364","-0.082798107881881","-0.192611419944039","-0.593966424789708","0.0809756039281828","0.454656214914045","0.165762260780378","1.26637029983671","-0.125342815661659","-0.00466594563508353","7.47","0"
"42168","0.778966620205324","-0.850236807945181","-0.562947942695589","-0.0229141750738265","-0.148102219058254","-0.232452781896313","0.51512076662637","-0.230496519882762","-0.0935064644922844","-0.242876362752182","0.678313983689564","1.35413400365489","1.17194158431246","0.144199332568765","-0.58587448060589","0.0852591163163382","-0.532539972521456","-0.0784917764659158","0.870904410982717","0.590908211314429","0.0918121821327883","-0.197510054375421","-0.462401930824527","-0.355334145398287","0.558817096810094","1.12251462043635","-0.146520443360674","0.0248023480716851","285","0"
"42168","1.29323418562907","0.0975651164882143","-0.209303548730501","0.329036371640663","0.0349576056402208","-0.145507145666098","-0.203270696305196","0.15307609095724","0.217830526796635","-0.0412853739447172","0.178210171163261","-0.742165166470873","-2.06418923395871","0.318912612781907","0.742387810883742","1.12782655024517","-0.542123387434153","0.871911141823608","0.546940502028323","-0.186408988633189","-0.340111175432174","-1.12874105142869","0.0007330949561815","-0.956668454120209","0.259784173733339","0.158010238917269","-0.0441160813862704","0.00353851518231459","1.98","0"
"42168","-0.870524550543018","0.96923410692026","1.70138669050018","0.122831549110385","0.6838200029446","-0.451423473707706","0.772920201016204","-0.0685369999513622","-0.69115825208838","-0.611604379430664","-0.175458914755721","0.61677259704302","1.11507417426531","-0.096519890826278","0.48886576128128","-0.010126899116047","-0.508558522673418","-0.612776671094711","-1.40366355241161","-0.160256485663029","0.146694409907533","0.436575211997904","-0.407751754129512","0.11550417500189","0.707257136032895","-0.350453201810064","-0.109815484539452","-0.0427236781289413","8.36","0"
"42168","1.33125701046288","0.412049873741301","-0.0812780124922877","0.769277052046961","0.446763492943222","-0.052771900168945","0.187802147370876","-0.187872047145005","-0.0901146743466473","-0.0481905514618498","-1.34751222020071","0.606465471564494","1.87716822851443","-0.0697245143387211","0.949454814237518","0.507318426423924","-1.0754939851656","0.0951596500526497","0.144136788897581","0.00955586889553646","-0.127290323345308","-0.256119056722785","-0.212104802279854","-0.979285334319757","0.782588319940251","-0.357605164175069","0.0308267961600013","0.0150448973627881","4.99","0"
"42170","1.12218926104173","0.246297350724574","0.54054602074361","1.31287287709614","-0.112325246062806","0.0371803161193631","0.0168910953345169","0.0720883088481618","-0.106866714192072","0.0231624431917582","1.48598821534405","1.72581445750707","0.573505698214227","0.108667862209951","-0.901801098944418","-0.626517413311406","0.0400421046001246","-0.653042279080878","-0.158561880144202","-0.148430731114561","-0.0315597710707485","0.166335201462895","-0.0532382612999101","0.254466653269706","0.636208789662011","-0.344276508277961","0.0432211062987646","0.00829096396272009","1","0"
"42171","0.782750700427084","-0.49823304149918","-0.312144487474861","1.46251439708918","-0.223297841020872","-0.501421807112669","0.610084429754374","-0.243809665447717","0.132537923747907","-0.107750888451954","-1.16615673646142","-0.102142064381034","-0.488009951430635","0.375074080462379","0.1111618639724","-0.175030937707452","-0.257307307130342","-0.164342877649503","-0.0199857773320179","0.335405975001337","0.0808007975073068","-0.2044899379623","-0.427404649025248","-0.0991296574890074","0.795527435121793","-0.255188261983428","-0.0426958541143745","0.0519519001604565","258","0"
"42171","-4.0952742565968","3.33285213528372","0.116661699369432","-2.31659067621105","-0.670862218667509","-0.843148430256659","0.816841434250972","-0.259257478844212","4.34617094378437","5.5346185342446","0.0447588254284618","-1.47961943457375","-2.66574362718295","-1.58831394778498","1.4331824569556","-0.250731153245767","-0.832401072577387","-0.888878858737245","-1.56903115250575","2.22829340000982","-0.905506667306797","-0.50415538135095","0.0514736051366897","-0.0309773439783953","0.243982968361225","0.584355118370371","-0.00186092487074065","-1.17306706806022","0.77","0"
"42172","1.07361530156114","0.261657687217619","-0.0695006580284873","1.01464860991214","0.347526187037424","-0.0846689211647424","0.417083298592107","-0.0294410051183002","-0.623634932901081","0.137703637700522","1.41890686639088","1.22518219221372","0.459429433462988","0.653326368928764","0.223596304792964","-0.0347277153160589","-0.469751015002222","-0.584895807885907","-0.116137576710898","-0.00708772628572973","-0.255605017145392","-0.870184758066128","0.0319635377320459","-0.337803566723961","0.395786472209143","-0.65505274960972","0.00304617820483312","0.0164431086584578","63.73","0"
"42172","0.958087018309573","-1.40853088685594","-1.58779529327038","-1.57280672492225","1.33719187039391","3.16087852905493","-0.446022045028677","0.648064084629925","-1.20323885646439","0.594122965060857","-0.129875446374821","-0.160901794869265","0.342889895386627","0.410928457377152","1.00553259037849","-0.909952101070819","-0.481069361902448","0.815822962680495","-0.188157964201875","0.171438988359768","-0.784454664689389","-2.59860609351354","0.106479941950353","0.962903149702829","-0.0874403264155713","0.503910282782081","-0.112657913012683","0.0517251217975386","264.9","0"
"42173","-0.0304643675723272","1.07819494217562","0.927029759279733","1.27878974260657","0.396601164640999","-0.0619128391651157","0.827621670395667","-0.185365317000656","-0.876705751862432","0.0027702195602796","-1.00383831415523","0.0833155958024887","1.27573108629636","0.159273329424535","1.5234360387788","-0.492880557325864","-0.191645842763313","0.386119160945475","1.69504410082582","0.273679671006764","0.137364747271137","0.505840719186263","-0.192192361293405","-0.414339007884413","-0.227330035226902","-0.135729396087178","0.198540623537945","0.168853769027383","37.44","0"
"42174","1.27568362129153","0.00533476009029995","-1.15542727786341","0.259761102658608","2.19276651497383","3.60454586169216","-0.447599172658689","0.850818363445612","0.17321202784058","-0.0152916958990568","-0.542425755701988","0.235865143710664","-0.223959621177127","0.190033371275168","-0.151963888128058","-0.102143093147574","-0.511021961244598","-0.0776390943079091","0.365614644449112","-0.0518148113000421","-0.187310275031884","-0.477435900127712","-0.120963687270875","1.00954863665965","0.89555434281912","-0.32594628080038","0.026548710953329","0.0113434363917258","2","0"
"42174","-0.770408359050034","-1.37319920999978","2.62278465987373","-1.56076987532877","-1.99494466767737","-0.16287411963205","-0.595017976134049","0.142236636096232","-1.0911641610889","0.26079882451303","-1.18841356143049","-0.175409013675276","0.3907323310194","-1.65662078313079","-2.88814219105299","-1.3429025815109","1.33775313115569","-0.557419612496686","-0.156810240346774","-0.0314378593082743","-0.224299286396637","-0.164834457345991","0.351216160959913","0.918181066580101","-0.202200452430501","-0.427999999413892","0.139150299230158","0.158269566308794","142","0"
"42174","1.10150515183966","-0.0769945348635574","1.16621688177361","1.29541502801185","-1.03238189504988","-0.438312966656757","-0.526027425962736","0.0750718197459169","0.603274362712248","0.012165136548624","-0.604588830724098","-0.288002744400839","-0.706529303938355","0.149477625206511","1.50836877850811","0.724171944675077","-0.658732110017143","0.449050576830838","-0.707247623058478","-0.0956866354774697","0.116148269798223","0.241520592164101","-0.0295126424704674","0.357621630797523","0.295631144390263","-0.362304527149884","0.049051197409727","0.0454320086844815","45","0"
"42174","1.22617780872313","-0.768725830410264","0.537314255985699","-0.540572459758109","-1.01243245388693","-0.131645313659349","-0.69607427660252","0.107479242107679","-0.692945449322737","0.60552939618071","1.47326684317781","0.397034689908405","-0.300992359832391","-0.180667862970592","-0.925020543824408","0.435639258920301","0.794403110282685","-1.75631211726869","0.784166432056001","0.0756128923522082","0.0897879249449414","0.259986569753212","-0.0184193780095331","0.259805880689341","0.407779775609997","-0.248048883422514","0.018867763547171","0.00737705772178408","44.5","0"
"42174","1.4213170231588","-1.26162918986041","0.787018754762907","-1.47234626851045","-1.7185207771205","-0.0433918275919467","-1.5378995615706","0.227977748898265","-1.64158874982118","1.59622340777811","1.15795582466637","-0.896104199980952","-0.949592181461834","0.0105071768466142","0.548419136368216","-0.178355454150512","0.481806256990412","0.529136303461398","-0.498170020235766","-0.44170205214579","-0.000920192666813468","0.35226153912832","0.0381695314489565","-0.0168663669672778","0.19143014061514","-0.0859899419103344","0.056105705092877","0.00981157273631324","7.3","0"
"42175","-1.19663254404022","-1.1517125062384","1.01493567242992","0.18524762262639","0.219713763551159","0.346998942871596","-0.644183559993923","-1.01493836375462","-0.0615395487534772","1.748495178566","0.275452572696176","-0.79806060672489","-2.18013049334725","-0.220566721922557","-0.368902609251192","-2.32343146992565","0.468288070854618","1.43751444495852","0.615573877262532","-1.10456799539449","0.288343066806539","-0.228680979121221","0.42140550595823","-0.337533744470159","-1.38177928644871","0.300110817538273","-0.344746271067095","0.0417674400748626","28.75","0"
"42175","1.27903415057735","0.182490530606204","-0.146852466676747","0.494173047323226","-0.0106234400921204","-0.533467678167506","0.0294466321765537","-0.0912999996088476","0.24665949143594","-0.26287826293824","-1.10262121118075","-0.61251315177924","-0.593596840021129","-0.142708633839134","1.27678749403591","0.811027627832402","-0.300375286595701","0.143867419084053","0.166413547212627","-0.0657295681475839","-0.348732645874234","-1.10213413041485","0.000939796359677775","-0.652142118787801","0.303389726461504","0.155410018004333","-0.03522313851686","0.0228941847446094","24.99","0"
"42175","1.37979748004117","-0.366175366188353","-0.0999872011811065","-0.62468318006943","-0.650434006511833","-1.12771174738024","-0.131159075367512","-0.263903141512902","-1.10247069366896","0.656051868076912","0.197556497400366","-0.692577080420999","-0.462112173078898","0.263316772165712","0.706735630863878","0.363258383161028","0.8332033966726","-2.09400498953709","0.157259919591411","-0.00672269751603335","0.234343394929159","0.61623876499899","-0.089276807803145","0.441854809673367","0.659334734700483","-0.0743217505496603","-0.0155401145410457","0.00106584691167357","15","0"
